ID,P-value,Label Type
HIA_Hou,0.0,tpsa
HIA_Hou,0.0,mw
HIA_Hou,0.0,logp
PAMPA_NCATS,0.85,year_full
PAMPA_NCATS,0.277,year_binned
PAMPA_NCATS,0.02,tpsa
PAMPA_NCATS,0.263,mw
PAMPA_NCATS,0.002,logp
BBB_Martins,0.0,year_full
BBB_Martins,0.0,year_binned
BBB_Martins,0.0,tpsa
BBB_Martins,0.0,mw
BBB_Martins,0.0,logp
_CYP2C19_Veith,0.0,year_full
_CYP2C19_Veith,0.0,year_binned
_CYP2C19_Veith,0.0,tpsa
_CYP2C19_Veith,0.0,mw
_CYP2C19_Veith,0.0,logp
_CYP2D6_Substrate_CarbonMangels,0.0,year_full
_CYP2D6_Substrate_CarbonMangels,0.0,year_binned
_CYP2D6_Substrate_CarbonMangels,0.0,tpsa
_CYP2D6_Substrate_CarbonMangels,0.0,mw
_CYP2D6_Substrate_CarbonMangels,0.0,logp
_CYP1A2_Veith,0.0,year_full
_CYP1A2_Veith,0.0,year_binned
_CYP1A2_Veith,0.0,tpsa
_CYP1A2_Veith,0.0,mw
_CYP1A2_Veith,0.0,logp
_CYP2D6_Veith,0.0,year_full
_CYP2D6_Veith,0.0,year_binned
_CYP2D6_Veith,0.0,tpsa
_CYP2D6_Veith,0.0,mw
_CYP2D6_Veith,0.0,logp
Pgp_Broccatelli,0.0,year_full
Pgp_Broccatelli,0.0,year_binned
Pgp_Broccatelli,0.0,tpsa
Pgp_Broccatelli,0.0,mw
Pgp_Broccatelli,0.0,logp
_CYP3A4_Substrate_CarbonMangels,0.0,year_full
_CYP3A4_Substrate_CarbonMangels,0.0,year_binned
_CYP3A4_Substrate_CarbonMangels,0.0,tpsa
_CYP3A4_Substrate_CarbonMangels,0.0,mw
_CYP3A4_Substrate_CarbonMangels,0.0,logp
_CYP3A4_Veith,0.0,year_full
_CYP3A4_Veith,0.0,year_binned
_CYP3A4_Veith,0.0,tpsa
_CYP3A4_Veith,0.0,mw
_CYP3A4_Veith,0.0,logp
Bioavailability_Ma,0.0,year_full
Bioavailability_Ma,0.0,year_binned
Bioavailability_Ma,0.0,tpsa
Bioavailability_Ma,0.0,mw
Bioavailability_Ma,0.0,logp
_CYP2C9_Substrate_CarbonMangels,0.0,year_full
_CYP2C9_Substrate_CarbonMangels,0.0,year_binned
_CYP2C9_Substrate_CarbonMangels,0.0,tpsa
_CYP2C9_Substrate_CarbonMangels,0.0,mw
_CYP2C9_Substrate_CarbonMangels,0.0,logp
hERG,0.001,year_full
hERG,0.0,year_binned
hERG,0.0,tpsa
hERG,0.0,mw
hERG,0.001,logp
hERG_Karim,0.0,year_full
hERG_Karim,0.0,year_binned
hERG_Karim,0.0,tpsa
hERG_Karim,0.0,mw
hERG_Karim,0.0,logp
AMES,0.0,year_full
AMES,0.0,year_binned
AMES,0.0,tpsa
AMES,0.0,mw
AMES,0.0,logp
Skin Reaction,0.0,year_full
Skin Reaction,0.0,year_binned
Skin Reaction,0.0,tpsa
Skin Reaction,0.0,mw
Skin Reaction,0.0,logp
_hERG_at_inhib,0.0,year_full
_hERG_at_inhib,0.0,year_binned
_hERG_at_inhib,0.0,tpsa
_hERG_at_inhib,0.0,mw
_hERG_at_inhib,0.0,logp
_ClinTox,0.0,year_full
_ClinTox,0.0,year_binned
_ClinTox,0.0,tpsa
_ClinTox,0.0,mw
_ClinTox,0.0,logp
DILI,0.0,year_full
DILI,0.0,year_binned
DILI,0.0,tpsa
DILI,0.0,mw
DILI,0.0,logp
Carcinogens_Lagunin,0.018,year_full
Carcinogens_Lagunin,0.086,year_binned
Carcinogens_Lagunin,0.0,tpsa
Carcinogens_Lagunin,0.0,mw
Carcinogens_Lagunin,0.0,logp
