NAME,CAS-RN,DATE
Dofetilide,115256-11-6,1999.751
Pyrimethamine,58-14-0,1953.0
Reserpine,50-55-5,1955.0
Azithromycin,83905-01-5,1994.742
Ticlopidine,55142-85-3,1991.833
Trospium,47608-32-2,2006.258
Adapalene,106685-40-9,1996.415
Midodrine,42794-76-3,1993.0
Pantoprazole,102625-70-7,1997.175
Torasemide,56211-40-6,1996.0
Citalopram,59729-33-8,1998.542
Eletriptan,143322-58-1,2002.986
Moxifloxacin,151096-09-2,1999.942
Nelfinavir,159989-64-7,1997.2
Glimepiride,93479-97-1,2000.716
Diflorasone,2557-49-5,1981.0
Indinavir,150378-17-9,1996.199
Gadodiamide,131410-48-5,1995.0
Lovastatin,75330-75-5,1987.666
Enflurane,13838-16-9,1972.658
Pregabalin,148553-50-8,2004.997
Temazepam,846-50-4,1981.0
Methyclothiazide,135-07-9,1961.0
Aminosalicylic acid,65-49-6,1967.0
Milrinone,78415-72-2,1988.0
Butabarbital,125-40-6,1939.584
Nevirapine,129618-40-2,1998.712
Oxiconazole,64211-45-6,1988.997
Alclometasone,67452-97-5,2004.577
Butalbital,77-26-9,1971.0
Cladribine,4291-63-8,1993.164
Ranolazine,95635-55-5,2006.074
Mesalazine,89-57-6,1988.085
Benzatropine,86-13-5,1955.0
Ziprasidone,146939-27-7,2001.099
Methysergide,361-37-5,1962.118
Cabergoline,81409-90-7,1996.978
Idoxuridine,54-42-2,1963.49
Dapsone,80-08-0,1972.0
Terconazole,67915-31-5,1988.0
Phenytoin,57-41-0,1952.0
Medrysone,2668-66-8,1970.0
Doxycycline,564-25-0,1967.929
Diethylstilbestrol,56-53-1,1952.0
Clotrimazole,23593-75-1,1982.0
Calcium acetate,62-54-4,1982.345
Sulfanilamide,63-74-1,1965.427
Cycloserine,68-41-7,1956.669
Anagrelide,68475-42-3,1997.2
Carmustine,154-93-8,1976.0
Sulfisoxazole,127-69-5,1964.0
Metoprolol,51384-51-1,1978.0
Crotamiton,483-63-6,1954.0
Ropinirole,91374-21-9,1997.734
Isradipine,75695-93-1,1998.918
Diatrizoate,117-96-4,1955.0
Topiramate,97240-79-4,1997.003
Olmesartan,144689-24-7,2002.315
Amsacrine,51264-14-3,1984.0
Theophylline,58-55-9,1965.0
Argatroban,74863-84-6,2000.91
Liothyronine,6893-02-3,1956.352
Disopyramide,3737-09-5,1977.668
Lidocaine,137-58-6,1948.885
Pamidronic acid,40391-99-9,1991.756
Clemastine,15686-51-8,1992.251
Acarbose,56180-94-0,1996.09
Venlafaxine,93413-69-5,1993.918
Conjugated estrogens,12126-59-9,1952.0
Travoprost,157283-68-6,2001.205
Amcinonide,51022-69-6,1979.0
Atomoxetine,83015-26-3,2002.904
Bleomycin,11056-06-7,1974.0
Chlorambucil,305-03-3,1958.0
Etomidate,33125-97-2,1996.918
Raltitrexed,112887-68-0,1996.883
Etonogestrel,54048-10-1,2001.756
Morphine,57-27-2,1952.0
Ropivacaine,84057-95-4,1996.732
Bupivacaine,38396-39-3,1974.0
Dapiprazole,72822-12-9,2019.581
Penciclovir,39809-25-1,2003.868
Tenofovir disoproxil,201341-05-1,2001.819
Flucloxacillin,5250-39-5,1982.0
Tranexamic acid,1197-18-8,1986.997
Ertapenem,153832-46-3,2001.89
Desogestrel,54024-22-5,1992.943
Mitomycin,50-07-7,1978.0
Bexarotene,153559-49-0,1999.995
Ibutilide,122647-31-8,1995.992
Vindesine,53643-48-4,1983.0
Chlorthalidone,77-36-1,1969.0
Pentobarbital,76-74-4,1952.0
Valproic acid,99-66-1,1978.162
Capreomycin,11003-38-6,1971.751
Zolmitriptan,139264-17-8,1998.027
Acetaminophen,103-90-2,1950.0
Gefitinib,184475-35-2,2003.962
Codeine,76-57-3,1952.0
Piperacillin,66258-76-2,1983.0
Dihydroergotamine,511-12-6,1947.0
Amitriptyline,50-48-6,1962.0
Floxuridine,50-91-9,1970.964
Tolcapone,134308-13-7,1997.803
Fluorometholone,426-13-1,1972.087
Nitroprusside,15078-28-1,1976.0
Calcium glucoheptonate,29039-00-7,1981.0
Hydromorphone,466-99-9,1926.003
Indomethacin,53-86-1,1966.0
Ethambutol,74-55-5,1970.0
Metformin,657-24-9,1994.0
Ipratropium,60205-81-4,1986.967
Methadone,76-99-3,1947.616
Olanzapine,132539-06-1,1996.751
Atenolol,29122-68-7,1989.0
Pimecrolimus,137071-32-0,2001.921
Omeprazole,73590-58-6,1990.0
Pyrazinamide,98-96-4,1971.422
Cetirizine,83881-51-0,1988.538
Terfenadine,50679-08-8,1984.0
Diltiazem,42399-41-7,1982.847
Protriptyline,438-60-8,1967.0
Aminohippuric acid,61-78-9,1944.997
Alfuzosin,81403-80-7,2002.142
Trimethadione,127-48-0,1946.068
Nitisinone,104206-65-7,2002.049
Clobazam,22316-47-8,1992.0
Minoxidil,38304-91-5,1979.836
Megestrol acetate,595-33-5,1978.0
Tioguanine,154-42-7,1975.0
Methylergometrine,113-42-8,1946.885
Aztreonam,78110-38-0,2009.416
Chlorzoxazone,95-25-0,1950.0
Aminoglutethimide,125-84-8,1980.828
Mefloquine,53230-10-7,1994.0
Sulfadiazine,68-35-9,1958.0
Sapropterin,62989-33-7,2007.953
Vinorelbine,71486-22-1,1995.0
Anidulafungin,166663-25-8,2006.132
Clozapine,5786-21-0,1989.748
Sucralfate,54182-58-0,1981.83
Grepafloxacin,119914-60-2,1998.499
Doxylamine,469-21-6,1978.797
Levonorgestrel,797-63-7,1984.918
Norepinephrine,51-41-2,1952.0
Cidofovir,113852-37-2,1996.486
Mirtazapine,85650-52-8,1996.454
Meprobamate,57-53-4,1960.0
Thiethylperazine,1420-55-9,2006.359
Timolol,26839-75-8,1978.0
Treprostinil,81846-19-7,2002.389
Colestipol,26658-42-4,1977.258
Trihexyphenidyl,144-11-6,1952.0
Palonosetron,135729-56-5,2008.642
Mexiletine,31828-71-4,1985.997
Dexrazoxane,24584-09-6,1995.4
Amlodipine,88150-42-9,1992.582
Tacrine,321-64-2,1993.69
Triamterene,396-01-0,1982.0
Valrubicin,56124-62-0,1998.751
Procyclidine,77-37-2,1955.4
Phenylephrine,59-42-7,1952.0
Digoxin,20830-75-5,1937.0
Profenamine,522-00-9,1953.0
Nimodipine,66085-59-4,1988.992
Beclomethasone dipropionate,5534-09-8,1974.0
Carisoprodol,78-44-4,1960.699
Progesterone,57-83-0,1978.359
Phenylpropanolamine,14838-15-4,1960.0
Sorafenib,284461-73-0,2005.97
Zoledronic acid,118072-93-8,2000.74
Griseofulvin,126-07-8,1963.0
Nisoldipine,63675-72-9,1995.09
Eszopiclone,138729-47-2,2005.258
Alprazolam,28981-97-7,1981.792
Dexbrompheniramine,132-21-8,1975.0
Gentian violet cation,7438-46-2,1952.0
Loxapine,1977-10-2,1976.0
Mupirocin,12650-69-0,1993.0
Carbamoylcholine,462-58-8,1952.0
Rosiglitazone,122320-73-4,1999.405
Pramipexole,104632-26-0,1998.156
Acetohexamide,968-81-0,1964.0
Ampicillin,69-53-4,1963.0
Metocurine iodide,7601-55-0,1949.0
Phenoxymethylpenicillin,87-08-1,1957.0
Secobarbital,76-73-3,1940.0
Miglustat,72599-27-0,2003.581
Promazine,58-40-2,1982.0
Spironolactone,52-01-7,1960.0
Methylphenidate,113-45-1,1956.0
Methocarbamol,532-03-6,1959.0
Hyoscyamine,101-31-5,1955.416
Zolpidem,82626-48-0,1993.249
Famciclovir,104227-87-4,1994.493
Triprolidine,486-12-4,1961.0
Streptozocin,18883-66-4,1986.0
Carboprost tromethamine,58551-69-2,1979.025
Lindane,58-89-9,1959.0
Trifluridine,70-00-8,1980.276
Prochlorperazine,58-38-8,1956.811
Cyproheptadine,129-03-3,1962.0
Nitric Oxide,10102-43-9,1999.978
Bendroflumethiazide,73-48-3,1960.0
Allopurinol,315-30-0,1966.633
Ceftazidime,72558-82-8,1986.0
Cerivastatin,145599-86-6,1998.192
Trimethoprim,738-70-5,1973.578
Gemcitabine,95058-81-4,1996.333
Entecavir,142217-69-4,2005.241
Betamethasone,378-44-9,1962.0
Teniposide,29767-20-2,1985.0
Epirubicin,56420-45-2,1986.0
Chloramphenicol,56-75-7,1952.0
Loracarbef,76470-66-1,1992.0
Lansoprazole,103577-45-3,1995.356
Dipivefrin,52365-63-6,1982.0
Droperidol,548-73-2,1983.0
Levothyroxine,51-48-9,1951.997
Framycetin,119-04-0,1960.0
Meperidine,57-42-1,1942.86
Loratadine,79794-75-5,1988.964
Cefalotin,153-61-7,1976.0
Prazosin,19216-56-9,1984.0
Imipramine,50-49-7,1959.753
Acitretin,55079-83-9,1995.0
Verteporfin,129497-78-5,2000.281
Nabumetone,42924-53-8,1993.362
Methscopolamine bromide,155-41-9,1953.271
Sodium tetradecyl sulfate,139-88-8,1977.0
Ketorolac,74103-06-3,1991.97
Quinine,130-95-0,1952.0
Tenoxicam,59804-37-4,1992.0
Dronabinol,1972-08-3,1994.611
Montelukast,158966-92-8,1998.14
Fluoxetine,54910-89-3,1987.995
Methohexital,151-83-7,1960.489
Chlordiazepoxide,58-25-3,1962.0
Duloxetine,116539-59-4,2004.648
Chlorpromazine,50-53-3,1953.0
Rimantadine,13392-28-4,1993.712
Amikacin,37517-28-5,1978.0
Lenalidomide,191732-72-6,2005.989
Raloxifene,84449-90-1,1998.016
Celecoxib,169590-42-5,1998.753
Gallamine triethiodide,65-29-2,1952.0
Brimonidine,59803-98-4,1997.921
Dicloxacillin,3116-76-5,1971.249
Nabilone,51022-71-0,1983.0
Altretamine,645-05-6,1990.986
Sotalol,3930-20-9,1986.0
Buspirone,36505-84-7,1990.0
Miglitol,72432-03-2,1996.964
Fosinopril,98048-97-6,1993.0
Cefotaxime,63527-52-6,1981.192
Entacapone,130929-57-6,1999.8
Zidovudine,30516-87-1,1987.474
Darifenacin,133099-04-4,2004.975
Oxycodone,76-42-6,1950.279
Flutamide,13311-84-7,1985.0
Tolmetin,26171-23-3,1977.0
Cimetidine,51481-61-9,1982.0
Haloperidol,52-86-8,1967.0
Ritonavir,155213-67-5,1996.71
Nitazoxanide,55981-09-4,2002.893
Dextrothyroxine,51-49-0,1961.0
Vancomycin,1404-90-6,1958.871
Aminocaproic acid,60-32-2,1965.0
Dextromethorphan,125-71-3,1958.584
Cisplatin,15663-27-1,1986.0
Albendazole,54965-21-8,1996.445
Trandolapril,87679-37-6,1996.32
Caspofungin,162808-62-0,2001.071
Carteolol,51781-06-7,2000.014
Alitretinoin,5300-03-8,2006.764
Metolazone,17560-51-9,1973.907
Tolnaftate,2398-96-1,1965.0
Oxaliplatin,61825-94-3,2002.605
Cinchocaine,85-79-0,1945.0
Foscarnet,4428-95-9,2006.071
Erlotinib,183321-74-6,2005.329
Cyclophosphamide,50-18-0,1959.877
Mephenytoin,50-12-4,1946.811
Rofecoxib,162011-90-7,1999.855
Cefdinir,91832-40-5,1997.926
Guanidine,113-00-8,1939.753
Ciprofloxacin,85721-33-1,1987.808
Gadoversetamide,131069-91-5,2001.636
Toremifene,89778-26-7,1997.496
Nortriptyline,72-69-5,1966.0
Vincristine,57-22-7,1985.0
Benazepril,86541-75-5,1991.471
Amoxapine,14028-44-5,1982.0
Fluorouracil,51-21-8,1970.575
Pyridostigmine,155-97-5,1955.263
Desoximetasone,382-67-2,1978.0
Azelaic acid,123-99-9,1996.221
Zafirlukast,107753-78-6,1996.738
Propylthiouracil,51-52-5,1946.0
Acetohydroxamic acid,546-88-3,1983.414
Pentostatin,53910-25-1,1994.0
Methoxsalen,298-81-7,1954.923
Piroxicam,36322-90-4,1982.0
Lamotrigine,84057-84-1,1995.047
Perflutren,76-19-7,2001.581
Hydroxyzine,68-88-2,1957.0
Zanamivir,139110-80-8,1999.726
Bosentan,147536-97-8,2001.888
Tigecycline,220620-09-7,2006.915
Doxapram,309-29-5,1965.477
Methotrexate,59-05-2,1953.934
Carbamazepine,298-46-4,1968.194
Cisatracurium,96946-41-7,1995.956
Succimer,304-55-2,1991.082
Cephalexin,15686-71-2,1971.011
Fondaparinux,104993-28-4,2001.934
Vinblastine,865-21-4,1993.0
Propranolol,525-66-6,1967.918
Atropine,51-55-8,1960.708
Fenoprofen,29679-58-1,1976.0
Fenfluramine,458-24-2,1992.0
Clonidine,4205-90-7,1974.0
Sulfamethizole,144-82-1,2005.953
Valaciclovir,124832-26-4,1995.584
Mazindol,22232-71-9,1976.0
Valdecoxib,181695-72-7,2001.877
Lactulose,4618-18-2,1966.578
Voriconazole,137234-62-9,2002.332
Levocarnitine,541-15-1,1985.989
Enalapril,75847-73-3,1985.981
Nizatidine,76963-41-2,1989.0
Diclofenac,15307-86-5,1981.0
Fluticasone propionate,80474-14-2,1990.953
Doxazosin,74191-85-8,1991.003
Fluocinolone acetonide,67-73-2,1963.444
Piperazine,110-85-0,1952.0
Ethosuximide,77-67-8,1961.0
Amiloride,2609-46-3,1982.0
Oxytetracycline,79-57-2,1965.518
Ulobetasol,98651-66-2,1994.0
Gadoteridol,120066-54-8,1992.877
Labetalol,36894-69-6,1984.415
Thiopental,76-75-5,1952.0
Monobenzone,103-16-2,1994.0
Linezolid,165800-03-3,2000.298
Ivermectin,70288-86-7,1995.937
Medroxyprogesterone acetate,71-58-9,1959.422
Cisapride,81098-60-4,1991.0
Sulindac,38194-50-2,1978.74
Nafcillin,147-52-4,1984.587
Chloroquine,54-05-7,1952.0
Ethionamide,536-33-4,2004.855
Metaraminol,54-49-9,2024.5
Butorphanol,42408-82-2,1995.0
Bisoprolol,66722-44-9,1993.803
Rifabutin,72559-06-9,1992.978
Demeclocycline,127-33-3,1967.0
Imatinib,152459-95-5,2001.37
Triamcinolone,124-94-7,1959.0
Oxandrolone,53-39-4,2005.701
Nicardipine,55985-32-5,1991.0
Fluphenazine,69-23-8,1969.0
Testosterone,58-22-0,1995.0
Efavirenz,154598-52-4,1998.712
Bacitracin,1405-87-4,1948.577
Niacin,59-67-6,1957.0
Clorazepic acid,23887-31-2,1972.478
Guanabenz,5051-62-7,1995.266
Alendronic acid,66376-36-1,1995.745
Clofarabine,123318-82-1,2004.992
Docosanol,661-19-8,2005.622
Dexmedetomidine,113775-47-6,2004.915
Sulfacetamide,144-80-9,1952.0
Prednisone,53-03-2,1957.0
Clofibrate,637-07-0,1969.0
Astemizole,68844-77-9,1985.0
Inulin,9005-80-5,2019.932
Butoconazole,64872-76-0,2003.496
Adenosine,58-61-7,1989.83
Simvastatin,79902-63-9,1991.0
Pemetrexed,137281-23-3,2004.096
Mebendazole,31431-39-7,1975.038
Gonadorelin,33515-09-2,1977.0
Dyclonine,586-60-7,1984.0
Nystatin,1400-61-9,1956.0
Dextropropoxyphene,469-62-5,1969.0
Mitotane,53-19-0,1978.789
Stavudine,3056-17-5,1994.479
Leucovorin,58-05-9,1981.0
Dyphylline,479-18-5,1963.0
Pentazocine,359-83-1,1968.0
Magnesium sulfate,7487-88-9,1957.041
Latanoprost,130209-82-4,1995.216
Estrone,53-16-7,1952.0
Trazodone,19794-93-5,1982.595
Mecamylamine,60-40-2,2006.564
Sevelamer,52757-95-6,2000.62
Acamprosate,77337-76-9,2005.03
Metaxalone,1665-48-1,1962.616
Verapamil,52-53-9,1983.0
Trimethobenzamide,138-56-7,1974.529
Flumethasone,2135-17-3,1967.0
Nilutamide,63612-50-0,1993.0
Nafarelin,76932-56-4,1990.121
Epinephrine,51-43-4,1952.0
Sumatriptan,103628-46-2,1993.0
Pirenzepine,28797-61-7,1985.0
Cefixime,79350-37-1,1991.0
Chlorpropamide,94-20-2,1958.825
Aprepitant,170729-80-3,2003.233
Galantamine,357-70-0,2001.162
Tamoxifen,10540-29-1,1987.0
Losartan,114798-26-4,1995.285
Thioridazine,50-52-2,1960.0
Moricizine,31883-05-3,1990.466
Amphotericin B,1397-89-3,1959.0
Warfarin,81-81-2,1958.0
Midazolam,59467-70-8,1989.0
Tobramycin,32986-56-4,1976.0
Trovafloxacin,147059-72-1,1998.978
Pentosan polysulfate,37300-21-3,1994.0
Fludrocortisone,127-31-1,1955.63
Mycophenolate mofetil,128794-94-5,1995.337
Flurazepam,17617-23-1,1972.0
Moexipril,103775-10-6,1995.537
Phentolamine,50-60-2,1952.082
Fluorescein,2321-07-5,1970.0
Daunorubicin,20830-81-3,1972.0
Furosemide,54-31-9,1966.499
Ergotamine,113-15-5,1952.0
Tizanidine,51322-75-9,1997.003
Nitrofurantoin,67-20-9,1953.978
Eplerenone,107724-20-9,2002.74
Amprenavir,161814-49-9,1999.288
Icodextrin,337376-15-5,2000.055
Methazolamide,554-57-4,1993.496
Naltrexone,16590-41-3,1996.0
Delavirdine,136817-59-9,1997.296
Tamsulosin,106133-20-4,1997.699
Porfimer sodium,87806-31-3,1995.989
Sufentanil,56030-54-7,1986.0
Lamivudine,134678-17-4,1995.89
Ibandronate,114084-78-5,2004.415
Diethylcarbamazine,90-89-1,1982.414
Flurbiprofen,5104-49-4,1986.0
Oxacillin,66-79-5,1976.016
Apomorphine,58-00-4,2004.503
Paroxetine,61869-08-7,1993.014
Nedocromil,69049-73-6,1991.0
Norethisterone,68-22-4,1962.0
Adefovir dipivoxil,142340-99-6,2002.721
Azatadine,3964-81-6,1977.0
Clodronic acid,10596-23-3,1993.0
Procaine,59-46-1,1921.0
Lisinopril,76547-98-3,1987.995
Methoxamine,390-28-3,1951.0
Imiquimod,99011-02-6,1997.159
Homatropine methylbromide,80-49-9,1943.225
Trimipramine,739-71-9,1965.0
Nitroglycerin,55-63-0,1965.0
Rocuronium,143558-00-3,1994.208
Thiabendazole,148-79-8,1967.266
Nateglinide,105816-04-4,2000.926
Atracurium besylate,64228-81-5,1991.0
Pralidoxime,6735-59-7,1965.189
Risperidone,106266-06-2,1993.995
Naftifine,65472-88-0,1990.751
Esomeprazole,119141-88-7,2001.214
Meclizine,569-65-3,1955.0
Pentamidine,100-33-4,1990.0
Riluzole,1744-22-5,1995.948
Hydrocortisone,50-23-7,1952.956
Mannitol,69-65-8,1964.0
Gadobenic acid,113662-23-0,2004.825
Zileuton,111406-87-2,1996.932
Modafinil,68693-11-8,1998.981
Deferoxamine,70-51-9,1968.254
Scopolamine,51-34-3,1966.003
Carbinoxamine,486-16-8,2002.099
Etodolac,41340-25-4,1993.789
Prilocaine,721-50-6,1965.0
Epinastine,80012-43-7,2004.052
Tranylcypromine,155-09-9,1989.477
Isoflurane,26675-46-7,1979.964
Ethotoin,86-35-1,1957.307
Tretinoin,302-79-4,1973.071
Hexachlorophene,70-30-4,1951.0
Dolasetron,115956-12-2,1997.652
Clopidogrel,113665-84-2,1900.003
Tetracycline,60-54-8,1953.0
Meropenem,96036-03-2,1996.73
Potassium chloride,7447-40-7,1937.534
Irinotecan,97682-44-5,1996.454
Methimazole,60-56-0,1952.0
Metyrosine,672-87-7,1979.756
Clavulanic acid,58001-44-8,1984.598
Olopatadine,113806-05-6,1997.132
Alprostadil,745-65-3,1981.792
Clidinium,7020-55-5,1962.0
Malathion,121-75-5,1982.586
Etoposide,33419-42-0,1982.0
Hydroflumethiazide,135-09-1,2006.548
Tirofiban,144494-65-5,1998.367
Oxcarbazepine,28721-07-5,2000.082
Nalidixic acid,389-08-2,1964.18
Phenelzine,51-71-8,1961.438
Propantheline,298-50-0,1953.252
Estradiol,50-28-2,1977.0
Mefenamic acid,61-68-7,1967.0
Acyclovir,59277-89-3,1982.241
Naproxen,22204-53-1,1976.0
Gadopentetic acid,80529-93-7,1993.0
Perindopril,82834-16-0,1993.997
Tripelennamine,91-81-6,1948.0
Primidone,125-33-7,1964.0
Sulfasalazine,599-79-1,1950.468
Candesartan cilexetil,145040-37-5,1998.704
Tolazoline,59-98-3,1948.21
Gentamicin,1403-66-3,1967.0
Tazarotene,118292-40-3,1997.274
Fenoldopam,67227-56-9,2004.787
Alfentanil,71195-58-9,1989.0
Colistin,1066-17-7,2007.348
Dicyclomine,77-19-0,1950.359
Pentoxifylline,6493-05-6,1984.664
Proparacaine,499-67-2,1965.0
Indapamide,26807-65-8,1983.0
Tropicamide,1508-75-4,1952.0
Biperiden,514-65-8,1986.0
Ribavirin,36791-04-5,1986.003
Phenylbutazone,50-33-9,1975.0
Fentanyl,437-38-7,1983.0
Meloxicam,71125-38-7,2000.418
Sodium lauryl sulfate,151-21-3,1961.0
Orciprenaline,586-06-1,1971.0
Propofol,2078-54-8,1994.0
Acetazolamide,59-66-5,1975.0
Tadalafil,171596-29-5,2003.901
Disulfiram,97-77-8,1967.0
Ethynodiol diacetate,297-76-7,1971.0
Levomenthol,2216-51-5,1952.0
Natamycin,7681-93-8,1981.0
Fosfomycin,23155-02-4,1996.967
Diazepam,439-14-5,1963.874
Trifluoperazine,117-89-5,1969.0
Cefaclor,53994-73-3,1981.0
Mifepristone,84371-65-3,2012.131
Brompheniramine,86-22-6,1958.0
Loperamide,53179-11-6,1984.0
Clocortolone,4828-27-7,1977.641
Tolazamide,1156-19-0,1995.09
Hydroxypropyl cellulose,9004-64-2,1981.416
