PMID,PUB_YEAR,PUB_MONTH
30411771,2018,11
30413003,2018,11
11537480,1990,0
11537770,1984,0
11538258,1991,0
11538271,0,0
11538290,1991,0
11538308,0,0
11538338,1987,5
11538398,1992,1
11538427,0,0
11538437,0,0
11538443,1995,3
11538999,1988,0
11539040,1986,0
11539043,1985,0
11539052,1987,0
11539060,0,0
11539305,1996,4
11539476,1993,0
4721606,1973,4
4721619,1973,5
4721621,1973,5
4721625,1973,5
4722032,1973,1
4722437,1973,2
4722440,1973,2
4722441,1973,2
4722450,1973,4
4722451,1973,4
4723223,1973,5
4723773,1973,6
4723784,1973,6
4723798,1973,4
22022814,2012,2
22022974,2012,6
22022995,2011,11
22023038,2011,11
22023459,2011,12
22023723,2011,12
22023760,0,0
22023874,2011,11
22024031,2011,12
22024401,2012,2
22024454,2012,1
22024457,2012,1
22024637,2011,0
22025062,2012,0
22025129,2011,12
22025197,2013,7
36178776,2022,10
36179814,2022,11
36179900,0,0
36180835,2022,9
15731870,2005,3
15731908,2005,4
15732467,2005,2
15732659,2004,12
15732937,2005,3
15732970,2005,3
15732980,2005,3
15733001,2005,3
15733004,2005,3
15733245,2005,3
15733336,0,0
15733542,2005,2
1051625,0,0
1052091,0,0
1052092,0,0
1052164,0,0
1052168,0,0
1052173,0,0
1052257,0,0
1052284,0,0
1052304,0,0
1052542,1975,12
1052786,1976,0
1052927,1975,0
1053041,0,0
1053045,0,0
1053050,0,0
1053071,0,0
1053072,0,0
1053073,0,0
1053074,0,0
1053077,0,0
1053078,0,0
1053079,0,0
1053081,0,0
1053087,0,0
1053090,0,0
1053203,1975,9
1053227,0,0
1053250,1975,11
1053515,1976,0
1053538,1976,0
1053684,1975,1
1053753,0,0
1053771,0,0
1053772,0,0
11013129,2000,10
11013226,2000,10
11013297,2000,10
11013305,2000,10
11013471,0,0
11013857,0,0
11013866,0,0
11013873,0,0
11013893,2000,8
11013961,0,0
11013974,2000,8
11013992,0,0
11013994,0,0
11013996,0,0
11014012,0,0
11014020,0,0
11014260,2000,8
11014261,2000,8
11014264,2000,8
11014275,2000,8
11014281,2000,8
11014282,2000,8
11014283,2000,8
11014298,2000,8
11014299,2000,8
11014452,2000,10
11014934,0,0
11014962,0,0
11015216,2000,10
38275763,2024,1
38276591,2024,1
38276617,2024,1
38278105,2024,6
31984296,0,0
31984451,2020,10
31984562,2020,6
31984767,0,0
31984879,2019,0
31984891,2019,0
31984905,2019,0
31984988,2020,2
31986028,2020,2
26219458,2015,9
33557149,2021,2
33558734,2021,5
28838696,2017,9
28839250,2017,8
28839279,2017,8
28839354,0,0
28839359,0,0
28839364,0,0
28839366,0,0
28839367,0,0
28839376,0,0
28839384,0,0
28840408,2017,11
28840691,2017,7
28840694,2017,7
28840729,2017,9
32508571,2020,0
32508751,2020,0
32509027,2020,0
32509375,2020,0
32509799,2020,0
32510414,2020,7
32510788,2020,8
19401496,2009,7
19401784,2009,0
19401788,2009,0
19402182,2009,10
19402343,2009,0
19402345,2009,0
19402604,2009,6
19402646,2009,6
19402692,2009,5
19402693,2009,6
19402698,2009,6
19402726,2009,5
19402727,2009,5
19403292,2009,12
19403295,0,0
19403405,2009,4
19403703,2009,7
19403851,2009,8
34081541,2021,6
34082026,2021,9
34082121,2021,9
34082369,2021,9
34082529,2022,2
34082759,2021,6
34083056,0,0
34083232,2021,8
34083237,2021,8
34083381,0,0
34083856,2003,4
34083895,0,0
29888098,2018,6
29888352,2018,6
29888779,2018,6
29888963,2019,12
29889366,0,0
29889382,0,0
29889392,0,0
29889490,2018,7
31986579,2014,2
31986630,2013,7
31986661,2013,12
31986680,2013,8
31986719,2013,9
31986771,2014,1
29363203,2018,3
29363347,2019,5
29363370,2018,12
29363695,2018,2
29363708,2018,2
29363973,2018,2
29364140,2018,1
29364148,2018,1
29364761,0,0
12061329,2002,8
12061454,2002,5
12061560,2002,4
12061638,0,0
12061655,0,0
12061664,0,0
12061882,2002,6
12062113,2002,4
12062120,2002,4
12062189,2002,5
12062220,0,0
12062221,0,0
12062363,2002,4
12062525,2002,6
12062641,2002,7
12062673,2002,6
12062694,2002,6
12062697,2002,6
12063038,0,0
12063073,2002,5
12063555,2002,7
12063716,2002,4
25168582,2014,11
25168792,2014,10
25169094,2014,5
25169239,2014,6
25169816,2014,9
25170571,2014,12
27265747,2016,6
27265891,2017,1
27266251,0,0
27266504,2016,11
27266882,2016,7
27267006,2016,10
27267199,2016,2
27267687,2016,10
27267717,2016,10
27267810,2016,8
27268114,0,0
2664,1975,12
2777,1976,2
2807,0,0
2860,0,0
2863,0,0
2912,1975,0
2935,1976,2
3082,1976,3
3086,1975,0
3112,1976,1
3148,1975,0
3153,1975,12
3165,1975,11
3173,1975,12
3198,1976,2
3202,1976,2
3247,1976,2
3250,1976,2
3296,1976,4
3398,0,0
3399,0,0
3402,0,0
3403,0,0
3405,0,0
3420,1976,1
3435,1976,3
3638,1976,1
3643,1976,2
3644,1976,2
3674,1975,10
3730,0,0
3799,1976,3
3808,1976,0
3816,1976,0
4059,1975,11
4085,1976,4
4103,1976,3
4115,1976,3
4120,1976,3
4154,0,0
4222,1976,2
4237,1976,5
4249,1976,4
4289,1975,0
4309,1976,3
4323,1976,4
4332,1976,3
4425,1976,4
4441,1976,4
4448,1976,4
4463,1976,4
4608,1976,3
4613,1976,4
4671,1976,3
4681,1976,4
4834,1976,2
4835,1976,2
4859,1975,0
4929,1975,7
5035,1975,12
5120,1976,5
5148,1976,5
5149,1976,5
5153,1976,4
5182,1976,4
24644275,2014,4
24644437,2014,2
24645481,0,0
24645495,0,0
24645497,0,0
24645503,0,0
24645521,0,0
24645528,0,0
24645531,0,0
23596130,0,0
23597165,2013,5
23597210,2013,5
23597255,2013,5
23597483,2013,4
23597998,2013,2
23598090,2013,3
23598159,2013,5
15207208,0,0
15207835,0,0
15208036,0,0
15208042,0,0
15208159,0,0
15209027,0,0
15209075,2004,5
15209088,0,0
15209151,0,0
15209201,0,0
15209517,2004,6
3148610,0,0
3148643,1988,11
3148683,1988,11
3148707,1988,11
3148708,1988,10
3148735,0,0
3148745,0,0
3148796,1988,11
3148890,1988,10
3148921,1988,0
3149038,1988,10
3149252,1988,0
3149297,1988,7
3149454,1988,0
3149546,1988,12
3149720,1988,12
3149815,1988,12
3150048,1988,2
3150059,1988,11
3150817,1988,6
4197900,1973,7
4197903,1973,7
4197928,1973,4
4198081,1972,11
4199226,1973,9
4199505,1973,9
16780158,2006,4
16780159,2006,4
16780223,2006,6
16780265,2006,3
16780266,2006,3
16780300,2006,6
16780331,2006,6
16780335,2006,6
16780338,2006,6
16780340,2006,6
16780364,2006,6
16780494,2006,9
16780568,2006,8
16780940,2006,11
16781148,2006,8
16781153,2006,8
16781721,2006,9
16781734,2006,7
16781888,0,0
16782041,2006,10
16782143,2006,6
16782254,2006,10
16782262,2006,10
16782415,2006,7
14682735,2003,12
14682755,2003,12
14682809,2003,11
14683323,2003,11
14683637,2004,1
14684294,2004,1
14684300,2004,1
14684325,2004,1
14684326,2004,1
14684334,2004,1
14685013,2004,2
5770619,1969,6
6294223,1982,11
6294426,1982,11
6294523,1982,0
6294630,0,0
6294639,0,0
6294647,1982,0
6294785,0,0
6294930,1982,4
6295110,1982,10
6295261,1982,10
6295263,1982,10
6295265,1982,11
6295271,1982,11
6295438,1982,11
6295490,1982,12
6295624,1982,9
6295646,1982,10
6295724,0,0
6295748,1983,3
6295779,1982,11
6295807,1982,11
6295973,1982,11
6296095,1983,2
6296106,1983,2
6296182,1983,2
6296272,1982,10
6296274,1982,11
6296362,1983,2
6296389,1982,12
6296572,0,0
9439850,1997,11
9440062,1997,9
